student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S18811,21,Female,4.4,2.8,2.0,No,94.0,7.6,Good,3,Master,Average,4,No,77.9
S10839,19,Male,7.5,2.5,3.1,Yes,71.1,6.8,Fair,2,Master,Poor,10,No,100.0
S29743,true,Other,9999-01-01, ,,No,#REF!,unknown,Good,unknown,Bachelor,Poor,,Yes,MISSING
S03238,17,Male,4.1,2.7,0.6,Yes,100.0,5.9,Fair,4,High School,Good,3,Yes,76.7
S33493,23,Female,4.2,3.5,0.9,Yes,77.6,4.3,Poor,4,Master,Good,9,Yes,200
S18648,24,Male,4.0,1.0,1.3,Yes,71.8,6.6,Good,2,Master,Poor,8,Yes,78.3
S07631,24,Female,5.4,1.8,0.2,No,81.8,5.9,Fair,0,Master,Good,1,No,70.4
S00797,23,Female,2.3,2.0,1.6,No,82.0,7.9,Good,6,High School,Good,5,Yes,62.8
S07280,24,Female,0.7,1.3,1.1,No,88.5,7.3,Fair,3,High School,Good,8,Yes,55.2
S04748,17,Male,3.0,2.9,2.4,No,86.0,6.2,Good,3,High School,Average,5,No,58.1
S18477,21,Male,1.2,2.3,2.7,Yes,98.3,7.8,Fair,3,Master,Average,3,Yes,53.3
S05620,22,Female,3.5,2.9,2.3,Yes,76.6,5.7,Good,5,Bachelor,Good,4,Yes,66.8
S13514,24,Male,6.0,0.0,3.4,No,71.3,8.4,Fair,5,High School,Good,7,No,100.0
S18939,21,Male,4.7,3.5,1.7,Yes,72.4,8.6,Good,4,,Poor,6,Yes,76.1
S14838,20,Male,1.7,1.2,3.1,No,77.9,6.1,Fair,0,Master,Good,4,No,49.1
S05635,24,Male,4.1,1.9,2.2,No,77.3,7.5,Fair,6,High School,Good,6,No,81.4
S08610,22,Female,1.2,2.5,3.2,No,94.2,8.0,Poor,4,High School,Poor,3,No,42.5
S11253,19,Female,4.3,2.3,2.4,Yes,89.7,7.5,Fair,5,High School,Average,8,No,84.6
S09054,19,Female,2.8,1.2,0.4,No,90.4,3.9,Fair,5,Bachelor,Average,2,Yes,64.7
S12233,20,Female,3.0,1.9,2.4,Yes,86.1,7.4,Good,6,Bachelor,Poor,6,No,66.3
S03882,24,Female,4.8,3.2,1.9,No,95.1,7.9,Fair,3,Bachelor,Good,10,No,89.7
S04893,23,Male,4.2,1.2,1.7,No,70.9,5.7,Fair,2,High School,Average,3,No,73.7
S09623,17,Male,3.8,2.3,1.8,No,72.2,6.8,Good,6,Bachelor,Poor,2,No,64.2
S08827,20,Male,5.4,4.7,0.0,No,85.3,5.9,Poor,1,Master,Good,3,No,87.5
S04947,24,Male,3.1,2.3,3.6,No,84.9,6.9,Poor,0,,Good,8,Yes,63.5
S08844,19,Female,3.5,2.5,2.1,No,76.4,6.3,Good,3,High School,Average,1,No,55.7
S01696,18,Female,3.6,2.7,0.0,Yes,80.7,5.6,Poor,2,High School,Average,7,No,70.2
S02506,19,Female,3.0,2.4,0.0,Yes,73.9,5.5,Fair,5,High School,Good,3,No,62.1
S07520,21,Male,6.0,2.3,1.9,No,74.4,6.4,Poor,6,High School,Good,7,Yes,100.0
S09470,17,Male,3.8,1.9,1.9,No,94.2,6.1,Fair,5,High School,Good,5,No,70.5
S15425,22,Female,2.4,4.0,2.1,No,83.0,6.3,Good,4,High School,Good,1,No,44.9
S03236,19,Male,4.0,3.1,1.9,No,91.6,7.1,Fair,3,Bachelor,Average,10,No,76.0
S19923,20,Female,3.6,2.6,1.9,No,80.9,6.0,Fair,3,Bachelor,Good,7,No,71.9
S16527,20,Female,4.3,2.5,1.6,No,90.3,3.2,Fair,4,High School,Average,4,No,73.2
S12095,23,Female,2.3,1.5,1.0,No,73.5,7.9,Good,6,Master,Poor,1,No,60.2
S17564,22,Male,4.1,2.7,2.2,No,87.0,8.9,Good,3,Master,Average,9,No,83.5
S00892,22,Male,3.8,4.0,1.8,No,82.9,7.2,Good,3,High School,Good,4,No,69.5
S13927,20,Male,5.1,1.1,0.8,No,100.0,6.5,Fair,5,Bachelor,Good,5,No,88.7
S10660,23,Male,3.6,5.9,2.4,No,68.6,4.7,Fair,4,Bachelor,Poor,4,No,47.4
S11514,24,Female,5.6,2.3,1.6,Yes,80.2,7.1,Poor,4,High School,Average,7,No,96.8
S16207,20,Female,3.9,1.4,0.2,No,90.1,8.3,Fair,6,Bachelor,Good,7,Yes,88.6
S34653,17,Male,8.3,7.2,5.4,Yes,100.0,10.0,Good,6,Master,Good,10,Yes,53.9
S00096,24,Male,2.7,2.6,4.6,No,83.1,7.9,Good,2,High School,Good,5,No,51.5
S05283,17,Female,3.9,3.7,1.1,No,73.1,6.0,Fair,0,Master,Average,7,Yes,77.7
S14358,19,Male,2.6,0.3,1.3,Yes,72.5,6.2,Good,4,Bachelor,Good,4,No,63.0
S04222,22,Male,4.1,1.2,1.2,Yes,86.1,5.1,Fair,1,,Average,2,Yes,62.6
S14970,17,Male,4.3,3.5,1.6,No,79.6,6.8,Good,1,Bachelor,Average,5,No,59.3
S02481,24,Female,5.3,3.6,2.8,Yes,66.8,5.6,Good,2,Bachelor,Average,3,No,89.6
S19911,22,Male,1.7,0.9,1.4,No,88.8,7.6,Fair,1,High School,Average,1,No,53.1
S11437,23,Male,7.0,3.1,0.5,No,80.2,6.1,Fair,6,Bachelor,Poor,5,No,96.5
S08163,17,Male,5.5,3.1,0.8,No,72.7,6.4,Fair,3,High School,Average,7,No,89.5
S18745,24,Male,2.6,1.0,0.6,No,82.5,4.5,Poor,5,Bachelor,Poor,10,No,62.2
S03448,23,Female,2.2,2.4,1.2,No,100.0,8.3,Good,5,High School,Average,1,No,55.2
S17402,20,Male,4.1,2.8,1.0,No,67.6,6.6,Good,2,High School,Good,5,Yes,78.0
S18881,18,Male,2.3,4.5,3.0,No,79.3,6.8,Fair,2,High School,Average,8,No,52.9
S15137,20,Male,3.5,2.2,1.3,Yes,84.7,6.1,Fair,1,High School,Poor,7,No,74.7
S12963,19,Male,2.2,2.5,0.0,Yes,89.4,7.1,Fair,3,High School,Average,7,No,62.6
S19706,21,Male,2.8,3.8,2.2,Yes,78.4,5.9,Good,3,High School,Good,1,No,43.6
S11220,19,Male,1.7,2.6,1.6,Yes,95.9,7.3,Good,3,Master,Average,6,No,51.4
S03291,21,Female,6.8,4.6,3.0,No,95.9,7.5,Fair,3,High School,Average,3,No,84.4
S15755,19,Male,2.1,1.3,1.9,No,85.0,6.5,Good,2,High School,Good,5,No,48.9
S08236,23,Male,5.7,2.5,1.1,No,79.4,6.2,Fair,1,,Average,9,No,98.7
S09102,20,Male,2.3,1.7,0.5,No,89.6,6.3,Fair,0,High School,Poor,4,No,59.1
S70608,-99,Female,1.3,5.1,3.3,No,62.8,8.7,Fair,3,Master,Good,10,Yes,50.2
S00873,19,Female,4.0,3.7,3.5,Yes,66.2,4.8,Fair,6,Master,Good,5,No,62.1
S10860,18,Female,3.3,2.7,1.5,No,91.1,6.3,Poor,3,Bachelor,Poor,6,Yes,60.2
S01933,22,Female,3.5,2.3,1.1,No,89.1,4.6,Good,5,Bachelor,Good,7,No,75.3
S16887,24,Male,3.8,3.5,0.8,No,85.1,6.5,Good,2,High School,Average,6,No,72.0
S02854,20,Female,0.3,2.4,1.6,No,73.0,7.1,Fair,6,High School,Good,1,No,34.3
S17308,22,Female,2.8,0.0,4.2,Yes,92.8,5.6,Fair,2,Master,Average,1,No,51.5
S12701,22,Male,1.3,0.7,0.7,No,71.1,5.9,Poor,2,Master,Poor,9,No,55.0
S19589,18,Male,3.6,3.4,0.3,Yes,78.9,7.2,Poor,2,Bachelor,Average,10,No,87.4
S11937,20,Female,3.8,2.4,1.5,No,81.5,8.3,Poor,2,,Average,7,Yes,79.9
S12836,20,Male,6.8,4.4,2.2,No,79.1,5.3,Fair,4,High School,Good,6,No,90.7
